metro,metro2,country,rank_300,gmm14_2005_pop,gmm14_2015_pop,tot_emp2005,tot_emp2015,gmm14_2005_nomgdp,gmm14_2015_nomgdp,gmm14_2000_realgdp,gmm14_2005_realgdp,gmm14_2015_realgdp,gdp_pc_real2000,gdp_pc_real2005,gdp_pc_real2015,productivity2005,productivity2015,share_population_laborforce15,share_population_laborforce05,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_emp15,compound_growth_pop15,compound_growth_producti_15,comp_growth_realgdp00_07,comp_growth_real_gdp_pc00_07,comp_growth_emp00_07,comp_growth_realgdp08_10,comp_growth_real_gdp_pc08_10,comp_growth_emp08_10,comp_growth_realgdp10_15,comp_growth_real_gdp_pc10_15,comp_growth_emp10_15,share_rgva2005business,share_rgva2005commodities,share_rgva2005construction,share_rgva2005local,share_rgva2005manufacturing,share_rgva2005trade,share_rgva2005transportation,share_rgva2005utilities,share_rgva2000business,share_rgva2000commodities,share_rgva2000construction,share_rgva2000local,share_rgva2000manufacturing,share_rgva2000trade,share_rgva2000transportation,share_rgva2000utilities,share_rgva2015business,share_rgva2015commodities,share_rgva2015construction,share_rgva2015local,share_rgva2015manufacturing,share_rgva2015trade,share_rgva2015transportation,share_rgva2015utilities,sector_prod2005business,sector_prod2005commodities,sector_prod2005construction,sector_prod2005local,sector_prod2005manufacturing,sector_prod2005trade,sector_prod2005transportation,sector_prod2005utilities,sec_gr_prod_0015business,sec_gr_prod_0015commodities,sec_gr_prod_0015construction,sec_gr_prod_0015local,sec_gr_prod_0015manufacturing,sec_gr_prod_0015trade,sec_gr_prod_0015transportation,sec_gr_prod_0015utilities,rgva_growth0007business,rgva_growth0007commodities,rgva_growth0007construction,rgva_growth0007local,rgva_growth0007manufacturing,rgva_growth0007trade,rgva_growth0007transportation,rgva_growth0007utilities,rgva_growth0810business,rgva_growth0810commodities,rgva_growth0810construction,rgva_growth0810local,rgva_growth0810manufacturing,rgva_growth0810trade,rgva_growth0810transportation,rgva_growth0810utilities,rgva_growth1015business,rgva_growth1015commodities,rgva_growth1015construction,rgva_growth1015local,rgva_growth1015manufacturing,rgva_growth1015trade,rgva_growth1015transportation,rgva_growth1015utilities,sec_gr_emp_0015business,sec_gr_emp_0015commodities,sec_gr_emp_0015construction,sec_gr_emp_0015local,sec_gr_emp_0015manufacturing,sec_gr_emp_0015trade,sec_gr_emp_0015transportation,sec_gr_emp_0015utilities,sec_gr_gdp_0015business,sec_gr_gdp_0015commodities,sec_gr_gdp_0015construction,sec_gr_gdp_0015local,sec_gr_gdp_0015manufacturing,sec_gr_gdp_0015trade,sec_gr_gdp_0015transportation,sec_gr_gdp_0015utilities,share_emp2000business,share_emp2000commodities,share_emp2000construction,share_emp2000local,share_emp2000manufacturing,share_emp2000trade,share_emp2000transportation,share_emp2000utilities,share_emp2015business,share_emp2015commodities,share_emp2015construction,share_emp2015local,share_emp2015manufacturing,share_emp2015trade,share_emp2015transportation,share_emp2015utilities,sector_prod2015business,sector_prod2015commodities,sector_prod2015construction,sector_prod2015local,sector_prod2015manufacturing,sector_prod2015trade,sector_prod2015transportation,sector_prod2015utilities,share_tradable2000,share_tradable2015,growth_tradable0015,gmm14_2009_pop,gmm14_2011_pop,tot_emp2009,fdi_stockvalue15,fdi_stockjobs15,fdi_stockvalue09,fdi_stockjobs09,fdi_stockvalue11,fdi_stockjobs11,fdipc09,fdipc15,fdipc11,fdipc_gr11_15,stock_gr_11_15,mean_citation_score09,share_top10publications_1013,mean_citation_score13,patent07,patent12,patentspc07,patentspc12,share_national_patents07,share_national_patents12,stockvc06,stockvc10,stockvc15,vcpc06,vcpc10,vcpc15,vcpc_gr,stock_vc_gr10_15,pass04,pass15,passengerspc04,passengerspc15,down08,down15,sharepop_tertiaryeducation,share_foreignborn_15,label_cluster
Ankara,Ankara,Turkey,129,4256.3,5225.7,1203.8,1837.7,76694.7,133934.1,39096.8,48463.4,70260.3,9907.958,11386.27,13445.14,40.25868,38.23273,0.3516658,0.2828278,0.0398513,0.0205605,0.0348747,0.0189022,0.0048089,0.0495306,0.0330441,0.0278408,0.0302747,0.0063852,0.0346518,0.0369445,0.0151526,0.0476511,0.2556258,0.0442576,0.0418436,0.1593806,0.1489035,0.1828644,0.1442835,0.022841,0.2487431,0.0522838,0.0420378,0.171068,0.1516813,0.1874268,0.1238944,0.0228647,0.2630142,0.0402869,0.0470058,0.1444577,0.1780968,0.1624039,0.136593,0.0281418,141.0076,48.57868,27.79724,21.771,26.88768,21.36224,70.58597,159.3226,-0.0030665,-0.013687,0.0158534,-0.0211304,0.0260893,0.0020107,0.0320421,-0.0015479,0.0226755,0.0004742,0.0330895,0.0136419,0.026047,0.0184982,0.0330316,0.0274878,0.0475898,0.029707,0.0132736,0.0273904,0.044996,0.0202058,0.0209056,0.0338008,0.0349325,0.0355106,0.0555608,0.0296438,0.0569057,0.0295876,0.0298134,0.059701,0.0470523,0.0362337,0.0313888,0.0505079,0.0244304,0.0280115,0.0142548,0.0560987,0.0438415,0.0220508,0.0477399,0.0283102,0.0511571,0.0300785,0.0467536,0.054464,0.0657931,0.03276,0.0694331,0.2544363,0.1991992,0.2942033,0.0777141,0.006461,0.0784132,0.0334113,0.0660064,0.3186048,0.1710834,0.2662567,0.0574631,0.008761,115.3435,41.46417,24.48887,15.59163,35.79739,20.97486,81.74149,110.4596,0.5766026,0.6179909,0.0046321,4583.3,4822,1353.5,1246.0828,4330,387.78223,1466,550.39764,2127,84.60765,238.4528,114.143,1.08907,1.263968,2.91479,0.0728915,4.872791,89.898811,266.69485,0.0203922,0.0541424,0.0739574,0.1016393,,0,0.60005772,,0,0.0001148,,,1934276,14142360,463.0889,2746.463,2.449812,13.56347,33.9,1,3
Athens,Athinai,Greece,102,3989.9,3844.4,1799.8,1550.1,140162.9,138715,121005.6,150549.4,122519.8,30950.89,37732.63,31869.68,83.64785,79.03993,0.4032099,0.451089,0.0008294,0.0019521,-0.001906,-0.0011205,0.0027406,0.0473541,0.0432848,0.0203044,-0.046883,-0.0445674,-0.0111729,-0.0425387,-0.0345201,-0.0331715,0.3128649,0.0040684,0.0492119,0.2852713,0.0824396,0.151724,0.0850508,0.029369,0.3160752,0.0056633,0.0491177,0.295392,0.0791035,0.1622081,0.0646825,0.0277577,0.3750581,0.0058791,0.0197988,0.289198,0.0625413,0.1459274,0.0851616,0.0164356,172.9812,45.925,47.5139,63.6931,56.57143,46.41463,80.62212,313.252,0.0024008,0.0438833,-0.0112379,-0.0071051,0.0035783,-0.0072761,0.0388797,-0.0144867,0.022723,-0.0051399,0.0298091,0.017112,0.0176852,0.0118487,0.0414917,0.017469,-0.0050275,0.0543353,-0.0337123,-0.0670311,-0.1168634,-0.0341288,-0.0726804,-0.1296661,-0.0347446,0.010152,-0.1583202,-0.0246237,-0.0376923,-0.0435468,-0.0350073,-0.0569352,0.0109039,-0.0378814,-0.046328,0.0075824,-0.0172473,0.0020897,-0.0178089,-0.0183385,0.013331,0.0043396,-0.0570453,0.0004235,-0.0137307,-0.0052017,0.0203784,-0.0325596,0.1213717,0.0161118,0.0653878,0.3182246,0.1165444,0.24243,0.1095856,0.0103442,0.1469583,0.0092897,0.0330301,0.3667505,0.0923811,0.2574027,0.0861235,0.008064,184.8029,45.82639,43.4043,57.09903,49.02165,41.05138,71.60225,147.584,0.4655245,0.5286401,0.0085122,4026.3,3975.9,1885.1,1821.5461,4384,395.43494,924,833.67664,2347,98.21298,473.8181,209.6825,1.259693,1.184955,4.177377,0.1043665,6.474926,298.99619,340.03784,0.0744216,0.086462,0.6588609,0.6483665,2.6760879,27.099195,44.485527,0.0006685,0.0067611,0.0115715,0.7114819,0.6415811,16273156,18202004,4093.773,4725.216,4.125702,9.895835,38.8,24.9,7
Atlanta,"Atlanta-Sandy Springs-Roswell, GA",USA,37,4770.87,5710.795,2377.96,2613.17,230490.7,310822,222288.5,251866.5,282203.7,51773.56,52792.58,49415.84,105.9171,107.9929,0.4575843,0.4984332,0.0160374,-0.0031024,0.0076353,0.0191994,0.0083385,0.0251856,0.001228,0.009506,-0.0192557,-0.0318193,-0.0324838,0.02399,0.0090111,0.0251751,0.3712319,0.0041892,0.0592355,0.2322459,0.0860592,0.1872123,0.0430612,0.0167648,0.354393,0.0048006,0.0701865,0.226101,0.0887552,0.1865159,0.0476256,0.0216222,0.411183,0.0039045,0.0372115,0.2376651,0.0743475,0.1770772,0.0459074,0.0127038,212.2563,81.10873,113.4555,67.06573,121.645,77.16067,97.12354,404.8873,0.01813,0.0181357,-0.015401,0.0025249,0.0218987,0.0032789,0.0058792,-0.0177328,0.0161265,-0.0131312,-0.0078094,0.0115748,0.0065511,0.0109775,0.0087344,-0.0049819,-0.0188918,-0.0332005,-0.1291929,0.0045879,-0.0001273,-0.0434975,0.0017229,0.007972,0.0326708,0.081071,0.0268102,0.0190545,0.0034383,0.0260315,0.0243928,-0.0538126,0.0070149,-0.0165598,-0.0116641,0.0159791,-0.0182533,0.0083482,0.0067603,-0.0025105,0.025272,0.0012756,-0.0268854,0.0185444,0.0032456,0.0116545,0.0126793,-0.0201988,0.1972163,0.0058463,0.0552329,0.3409111,0.0891653,0.2569787,0.0500129,0.0046367,0.1954025,0.0040602,0.0413253,0.3857996,0.0603443,0.259719,0.0493653,0.0039837,227.248,103.8511,97.24262,66.52711,133.0531,73.62984,100.4283,344.3852,0.4955744,0.5353424,0.0051592,5240.828,5374.179,2328.66,9298.8125,26447,924.35553,2887,4531.0625,10665,176.3759,1628.287,843.1171,0.9312701,1.052237,8.127299,0.1598221,9.050524,3541.0313,3116.3745,0.6989306,0.5712538,0.0149298,0.012469,788.8078,3312.8425,5145.1885,0.1599416,0.624458,0.9009584,0.4427847,0.5531039,106800000,116000000,22913.44,20653.2,7.264817,30.09852,36.60555,13.23,2
Austin,"Austin-Round Rock, TX",USA,127,1453.358,2000.86,713.32,975.32,66194.77,119233.7,58735.55,69843.12,110052.1,46433.1,48056.38,55002.39,97.91274,112.8369,0.4874504,0.4908082,0.0427491,0.0113549,0.0230311,0.0310417,0.0192741,0.0433935,0.0109617,0.0172401,0.0134324,-0.0146441,-0.0033156,0.0565149,0.0260215,0.0416586,0.3069058,0.0158225,0.0584621,0.2814627,0.131131,0.1781848,0.0130745,0.0149566,0.3045418,0.012417,0.0749606,0.3018157,0.0955325,0.1815022,0.0137839,0.0154463,0.3443011,0.0253058,0.0484006,0.2535527,0.125135,0.1790475,0.0114795,0.0127778,186.8542,102.4601,108.2075,65.18613,146.7722,74.825,94.15902,533.6718,0.0161276,0.0769185,-0.0051924,0.0042178,0.0912022,0.0078056,0.00333,0.0005782,0.0204818,0.0435608,0.0020251,0.0115575,0.0454084,0.0184085,0.0153234,0.0221673,0.0095183,0.0752132,-0.0319605,0.0328073,-0.0019107,-0.0047021,-0.0163062,-0.0545239,0.0742586,0.1227518,0.0591105,0.0326085,0.0362486,0.0682207,0.047973,0.0366071,0.0336016,0.0143304,0.0170541,0.0253588,-0.0280172,0.0327082,0.0256713,0.0280311,0.0502711,0.0923513,0.0117732,0.0296835,0.0606298,0.0407691,0.0290869,0.0286256,0.1578492,0.0155238,0.057464,0.4024209,0.1272489,0.2237243,0.0136915,0.0020775,0.1841652,0.0136571,0.0526289,0.4163762,0.0590473,0.257659,0.0142312,0.0022352,210.9511,209.0811,103.7715,68.71214,239.1276,78.41042,91.01873,645.055,0.4262752,0.5062214,0.0115252,1682.338,1781.409,783.86,10676.96,13494,679.38574,936,5086.6655,2979,403.8343,5336.186,2855.417,0.8687938,1.09901,7.589938,0.1649316,9.713218,2828.0354,2302.002,1.792328,1.254293,0.0119237,0.0092106,1112.9603,5788.0493,7912.0889,0.7343922,3.348971,3.954344,0.180764,0.3669699,13886286,20147164,9848.024,10366.62,6.598166,70.43829,41.17898,14.76,2
Baltimore,"Baltimore-Columbia-Towson, MD",USA,69,2644.231,2797.407,1321.69,1398.39,127575.7,178120.5,120859.3,140754,162559.5,47248.36,53230.59,58110.79,106.4954,116.2476,0.4998879,0.4998391,0.0199577,0.0138912,0.0052799,0.0059834,0.0146006,0.0267263,0.0205877,0.0064422,0.016529,0.0100736,-0.0157423,0.0152364,0.0091225,0.0140083,0.341534,0.0023253,0.0589605,0.3359366,0.0633731,0.153472,0.0255331,0.0188653,0.2913384,0.0026134,0.0655138,0.3581055,0.0766339,0.1584739,0.0258211,0.0215,0.3785091,0.002615,0.0418869,0.3427669,0.0620979,0.1292206,0.0233111,0.0195927,229.8684,32.13739,99.51714,77.95627,118.4493,73.95805,92.32246,495.6903,0.0247714,0.0695086,-0.0124232,0.0054761,0.0430489,0.0018586,0.0014327,0.0028885,0.0234184,-0.0072051,-0.0051062,0.0067617,0.0052287,0.0057688,0.0081669,0.0121516,0.0289354,0.001724,-0.033463,0.0194035,0.0476325,-0.0304856,0.0198882,0.0497867,0.02497,0.0725554,0.0068061,0.0147689,-0.0158736,0.0164102,0.0078203,-0.0291318,0.0115407,-0.047499,0.0011763,0.0101655,-0.0369752,0.0030369,0.0102975,0.009461,0.036598,0.0187081,-0.0112615,0.0156973,0.004482,0.0049012,0.011745,0.0123768,0.148292,0.0102772,0.0565478,0.4554706,0.0737281,0.2220124,0.03005,0.0036218,0.1627658,0.0045767,0.0531826,0.4898276,0.038716,0.2146969,0.0323801,0.0038544,270.332,66.42031,91.55721,81.34668,186.4536,69.96648,83.68927,590.9054,0.3964068,0.4665331,0.0109184,2696.018,2735.306,1305.08,943.96075,2878,142.24054,688,557.02246,1295,52.75949,337.4413,203.6417,0.6570343,0.6946548,10.59981,0.1796654,11.26711,1913.6595,1750.2378,0.7173662,0.6350664,0.0080684,0.0070029,346.15683,1572.1653,2007.114,0.1302241,0.5792407,0.7174909,0.2386749,0.2766559,37737824,39237972,14343.82,14079.67,8.277598,37.81223,38.22252,9.309999,2
Barcelona,Barcelona,Spain,72,4497.6,4710.5,2289.3,2146.5,158231.4,197889,149993.7,175521,178089.2,36359.47,39025.48,37806.86,76.67016,82.96725,0.4556841,0.5090048,0.0115118,0.0026058,0.005421,0.0088829,0.006058,0.0324572,0.0153792,0.0314033,-0.0194032,-0.0258036,-0.0376432,-0.0027402,0.0002021,-0.0119342,0.224792,0.0074617,0.0915757,0.1999417,0.217421,0.1878388,0.0475034,0.0234656,0.1916791,0.0077345,0.0975744,0.1914776,0.2480581,0.1913443,0.0539553,0.0181767,0.2598906,0.0073418,0.0485999,0.2309184,0.1710052,0.2003784,0.0560394,0.0258263,138.8227,47.21484,69.97169,49.13943,76.29809,56.14929,70.92074,207.7104,0.0176623,0.0430327,0.0039188,-0.0058988,0.0261088,0.0014666,0.0014052,0.024594,0.0307674,0.0112909,0.0060739,0.019662,0.0018257,0.0130831,0.0040273,0.0308206,0.0017356,-0.0572129,-0.0937203,0.0101314,-0.0653327,-0.0112592,0.0040328,0.0591107,0.0061762,0.0073898,-0.0794678,0.0060755,-0.0081013,0.0148203,0.0342353,-0.0220812,0.0156337,-0.0323467,-0.0369524,0.031617,-0.0371396,0.0144382,0.0139438,0.0119158,0.0335721,0.009294,-0.0331784,0.0255317,-0.0120004,0.015926,0.0153685,0.0368029,0.1116556,0.0123276,0.0881625,0.2455413,0.263477,0.2261911,0.0435507,0.0090941,0.1299324,0.0069415,0.0462148,0.3611461,0.1377126,0.258607,0.0494293,0.0100163,157.3205,83.18792,82.71169,50.29076,97.66711,60.94289,89.17059,202.8,0.501427,0.494277,-0.000957,4763.5,4794,2310.2,16030.315,47507,2926.7031,8018,6660.4668,21143,614.4019,3403.103,1389.334,1.449449,1.406786,5.615117,0.1229243,6.952334,1834.3389,2274.5964,0.3956557,0.4748735,0.3014113,0.2477468,124.93979,876.06195,1219.9619,0.0273799,0.1832612,0.2589878,0.4132164,0.3925521,27965130,50916340,6322.089,10771.39,4.698849,40.64551,37,22.9,7
Beijing,Beijing,China,11,15981.1,21875.5,8780,12034.1,247811.5,663589.9,65433.8,115393.2,282241.2,4815.452,7220.604,12902.16,13.14273,23.45345,0.5501177,0.549399,0.1023543,0.0679109,0.0364821,0.0322531,0.0635536,0.1236442,0.0862274,0.0427932,0.1024999,0.0563237,0.0255183,0.0753923,0.05223,0.0312912,0.3296583,0.0185975,0.0480015,0.1277823,0.1965173,0.118255,0.1404268,0.0207612,0.30613,0.0283269,0.0577427,0.1080081,0.2034152,0.1312372,0.1494951,0.0156449,0.3822168,0.0205873,0.0479193,0.1146912,0.1577296,0.1335713,0.1281539,0.0151306,19.29997,3.29573,10.22879,8.208745,14.85085,12.26005,17.10077,11.76505,0.038854,0.105543,0.109287,0.0648527,0.0853431,0.072149,0.0226428,0.0582713,0.0645824,0.0113056,0.0427253,0.0597233,0.0497286,0.0563865,0.0501574,0.0837353,0.0841546,0.0153244,0.1322559,0.0859305,0.1251204,0.1331316,0.0941937,0.0893649,0.0994523,0.1179583,0.0770708,0.0962309,0.0535106,0.0446206,0.0628486,0.0647167,0.077556,-0.0233211,-0.0179709,0.0399588,-0.0008384,0.0299656,0.0675391,0.0399269,0.1194234,0.0797605,0.0893522,0.107403,0.0844331,0.1042766,0.0917112,0.1005248,0.1775265,0.1076453,0.0990826,0.1808122,0.1751938,0.1433895,0.0984425,0.0179077,0.3180047,0.0441412,0.0440997,0.1901264,0.1010711,0.130446,0.1532894,0.0188215,28.44934,11.03953,25.71999,14.27854,36.93875,24.23697,19.78864,19.02826,0.6873672,0.6886876,0.000128,18784.7,20186,9983,37856.23,113566,8711.4014,28303,20241.32,61628,463.7498,1730.531,1002.741,0.7258014,0.8702451,3.658698,0.0952797,5.531837,2569.2988,10866.213,0.149174,0.5251154,0.1286066,0.1469599,602.25452,7993.5645,17251.297,0.0363867,0.4074399,0.7886127,0.935531,1.158148,57244368,136800000,3718.688,6358.241,,30.66895,30.8,,4
Berlin,Berlin,Germany,84,4101,4313.5,1887.6,2212.4,126657.3,185910.3,154237.2,150815.1,183234.7,37708.96,36775.2,42479.36,79.8978,82.82169,0.5129013,0.460278,0.0115513,0.007973,0.0082971,0.00355,0.0032274,0.0055968,0.0051935,0.0005036,0.0065238,0.0056301,0.012856,0.0175621,0.0079117,0.0154041,0.3280155,0.0022243,0.0375609,0.3474045,0.1089008,0.0969093,0.0465246,0.0324601,0.3227864,0.0026479,0.0588165,0.3429284,0.1031487,0.0932877,0.0421094,0.034275,0.332731,0.0017997,0.0395296,0.3531423,0.103528,0.0941439,0.0470914,0.028034,137.0481,29.82178,48.7651,53.7632,98.90342,42.57852,70.3125,161.5993,0.0019849,-0.0007669,0.0075273,-0.0010438,0.0208846,-0.000481,0.0146438,0.0230395,0.0056786,-0.0029591,-0.0282946,0.0024572,0.009929,0.0049143,0.0165207,-0.0179988,0.001964,-0.1018298,0.0334014,0.0133768,-0.0154785,-0.0382685,-0.009608,0.108991,0.0172801,-0.0111881,0.0309135,0.0188095,0.0088038,0.0342138,0.0111773,-0.0251799,0.0116405,-0.0133525,-0.022207,0.0146404,-0.0088522,0.0127035,0.0044603,-0.0243435,0.0136485,-0.0141092,-0.0148468,0.0135813,0.0118476,0.0122164,0.0191694,-0.0018649,0.1600409,0.0058839,0.079253,0.4320287,0.0926068,0.1607572,0.0518803,0.0175492,0.1681884,0.0042488,0.049991,0.4746429,0.0715965,0.1716236,0.0489966,0.0107123,146.8213,31.43617,58.68445,55.21722,107.3144,40.71056,71.32934,194.2194,0.4706924,0.4851501,0.0020189,4108.3,4132.8,2029.3,8764.9316,22387,3038.655,6062,5420.6855,10737,739.6381,2031.977,1311.625,0.5492049,0.6169415,6.937699,0.1447444,8.367278,3370.9585,3761.2388,0.8218442,0.9026901,0.0404102,0.0410461,36.129967,1195.1917,5055.3496,0.0088111,0.2906029,1.171983,3.032937,3.22974,22794536,42571072,5553.547,9996.964,8.467441,27.04091,36.3,16.5,7
Birmingham (UK),Birmingham,United Kingdom,112,3599.6,3868.7,1826,1871.4,100332.1,132439.1,106477.7,119244.4,127390.6,30173.06,33127.13,32928.53,65.30361,68.07235,0.4837284,0.5072786,0.0120266,0.005843,0.0029766,0.0061476,0.0090231,0.0210777,0.0163589,0.0039361,-0.0163925,-0.0235502,-0.0231784,0.0195201,0.0121461,0.0138292,0.2451239,0.0036793,0.0723809,0.2917564,0.1496914,0.1521511,0.0482112,0.0370059,0.2103096,0.0029947,0.0676975,0.2716332,0.2066928,0.1450643,0.0527425,0.0428655,0.2513042,0.0036346,0.0619756,0.3074369,0.1299882,0.1586905,0.0461577,0.0408124,104.395,34.69298,65.16331,45.54459,64.57023,40.50347,60.26046,261.7039,0.0112338,0.0386471,0.0035919,0.0082564,0.0118858,0.0162966,-0.0083567,-0.0044263,0.021276,0.0164758,0.0159562,0.01245,-0.0143591,0.0122494,0.0014418,0.0038497,-0.0049455,-0.0003926,-0.0349109,0.003719,-0.0536069,-0.0158398,-0.0705571,0.0486561,0.0128159,0.0199282,0.000563,0.0227177,0.0292203,0.0333988,0.0337096,-0.0113858,0.0128489,-0.0128603,0.0025968,0.0121715,-0.0302035,0.0018878,0.0116346,0.013318,0.0242271,0.0252897,0.006198,0.0205284,-0.0186767,0.0182152,0.0031806,0.0088327,0.1291764,0.0066488,0.0605654,0.3391999,0.1851603,0.2200246,0.0477707,0.0114538,0.1496206,0.0052367,0.0602223,0.3889602,0.111788,0.216469,0.0543443,0.013359,104.0846,43.0102,63.77374,48.98117,72.0588,45.42903,52.63422,189.32,0.4727396,0.4310847,-0.0061305,3701.8,3763,1750.9,13664.368,29645,2752.9783,5420,6294.8804,12119,743.6864,3532.031,1672.836,1.111404,1.170711,6.185866,0.1543742,7.965134,1523.0955,1961.5648,0.4178359,0.5176862,0.0517576,0.0665034,13.458795,90.73349,162.1683,0.0037166,0.0243201,0.041918,0.7235952,0.7873037,7442814,10668785,2081.906,2775.727,4.803535,32.4005,32.2,13.5,7
Boston,"Boston-Cambridge-Newton, MA-NH",USA,24,4418.046,4774.321,2428.51,2664.07,265633.1,370730.9,266333.2,288329.7,337288.3,60512.99,65261.82,70646.35,118.727,126.6064,0.5579998,0.5496797,0.0158706,0.0103754,0.0034726,0.0054389,0.0123551,0.0179994,0.0164695,-0.0014837,0.0088575,0.0002438,-0.0130125,0.0184401,0.0091582,0.0162003,0.4410352,0.0015015,0.0442891,0.2648208,0.0913475,0.1294373,0.0170416,0.010527,0.4192329,0.0015457,0.0537289,0.273609,0.0876603,0.1316231,0.018554,0.0140461,0.4725072,0.001318,0.0313301,0.2594195,0.1038707,0.1092817,0.0138865,0.0083863,244.517,68.12245,126.2534,76.07613,127.4474,70.9684,93.52488,462.3587,0.0206326,-0.0004091,-0.0234107,-0.0000418,0.0557121,-0.0014307,-0.0004585,-0.0083877,0.0100823,0.0069262,-0.0186325,0.0056559,0.0213699,0.0029699,-0.0012849,-0.0067299,0.0208022,-0.0026882,-0.066389,0.0036328,0.0275526,-0.0199076,-0.0117753,0.0198679,0.0265045,0.0371196,0.0352819,0.0094188,0.0186198,0.0096903,0.0056972,-0.0535576,0.0022499,0.0044911,0.0024289,0.0112494,-0.0278146,0.0037327,-0.004156,-0.011202,0.0229289,0.0040802,-0.0210387,0.011207,0.0263479,0.0022966,-0.0046126,-0.0194957,0.2229309,0.0026729,0.0381957,0.3904701,0.1079365,0.2095426,0.0250724,0.003179,0.2188907,0.0027139,0.0376041,0.4384081,0.0671154,0.2103586,0.0223605,0.0025487,273.2983,61.48686,105.483,74.9169,195.9417,65.77225,78.62582,416.5832,0.5269929,0.5915824,0.0077374,4527.22,4608.426,2445.45,7164.1631,23883,1521.2875,4727,3219.3528,9963,336.0313,1500.562,698.5797,1.148018,1.225343,12.62422,0.2232107,13.83615,13104.233,14001.597,2.946203,3.00958,0.0552505,0.0560221,5976.771,28456.938,39916.281,1.349964,6.239614,8.36062,0.3399259,0.4026907,46680896,55621984,10549.46,11736.12,8.346107,37.62372,45.67968,16.95,2
