"varid","vars","cat","label"
"v1","rank_300","Economic characteristics","GDP rank, (year?)"
"v2","gmm14_2005_pop","Economic characteristics","Population, 2005"
"v3","gmm14_2015_pop","Economic characteristics","Population, 2015"
"v4","tot_emp2005","Economic characteristics","Employment, 2005"
"v5","tot_emp2015","Economic characteristics","Employment, 2015"
"v6","gmm14_2005_nomgdp","Economic characteristics","Nominal GDP, 2005"
"v7","gmm14_2015_nomgdp","Economic characteristics","Nominal GDP, 2015"
"v8","gmm14_2000_realgdp","Economic characteristics","Real GDP, 2000"
"v9","gmm14_2005_realgdp","Economic characteristics","Real GDP, 2005"
"v10","gmm14_2015_realgdp","Economic characteristics","Real GDP, 2015"
"v11","gdp_pc_real2000","Economic characteristics","Real GDP per capita, 2000"
"v12","gdp_pc_real2005","Economic characteristics","Real GDP per capita, 2005"
"v13","gdp_pc_real2015","Economic characteristics","Real GDP per capita, 2015"
"v14","productivity2005","Economic characteristics","GDP per worker (?), 2005"
"v15","productivity2015","Economic characteristics","GDP per worker (?), 2005"
"v16","share_population_laborforce15","Economic characteristics","Share of pop in the labor force, 2015"
"v17","share_population_laborforce05","Economic characteristics","Share of pop in the labor force, 2005"
"v18","compound_growth_realgdp15","Economic characteristics","Annual average percent change in real GDP (yrs?)"
"v19","compound_growth_real_gdp_pc15","Economic characteristics","Annual average percent change in real GDP per capita (yrs?)"
"v20","compound_growth_emp15","Economic characteristics","Annual average percent change in employment (yrs?)"
"v21","compound_growth_pop15","Economic characteristics","Annual average percent change in pop (yrs?)"
"v22","compound_growth_producti_15","Economic characteristics","Annual average percent change in real GDP per worker (yrs?)"
"v23","comp_growth_realgdp00_07","Economic characteristics","Annual average percent change in real GDP, 2000 to 2007"
"v24","comp_growth_real_gdp_pc00_07","Economic characteristics","Annual average percent change in real GDP per capita, 2000 to 2007"
"v25","comp_growth_emp00_07","Economic characteristics","Annual average percent change in employment, 2000 to 2007"
"v26","comp_growth_realgdp08_10","Economic characteristics","Annual average percent change in real GDP, 2008 to 2010"
"v27","comp_growth_real_gdp_pc08_10","Economic characteristics","Annual average percent change in real GDP per capita, 2008 to 2010"
"v28","comp_growth_emp08_10","Economic characteristics","Annual average percent change in employment, 2008 to 2010"
"v29","comp_growth_realgdp10_15","Economic characteristics","Annual average percent change in real GDP, 2010 to 2015"
