metro,metro2,country,rank_300,pop_2015,tot_emp2015,2015_nomgdp,2015_realgdp,gdp_pc_real2015,productivity2015,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_emp15,compound_growth_pop15,fdi_pc_09-15,share_publications_top_10_10-13,patents_pc_08-12,venture_capital_pc06-15,passengers_pc_2014,download_speed2015,share_tertiary_education2015,label_cluster
Changchun,Changchun,China,108,7601.1,1841.88,162933.2,77437.4,10187.66,42.04259,0.1280701,0.1231614,0.0254602,0.0043704,193.0879,0.0805289,0.0154372,,1901.248,13.65089,12.8,1
Changsha,Changsha,China,60,7307.7,2136.08,245570.6,110155.4,15073.88,51.56895,0.1354545,0.1219888,0.0393723,0.0120016,567.824,0.0840594,0.1547142,0,4146.07,15.64745,15.3,1
Changzhou,Changzhou,China,123,4727.3,2198.62,147280.6,67605,14300.98,30.74883,0.12505,0.108139,0.0687304,0.0152607,1385.547,,0.0003272,0.0055038,826.923,33.5055,10,1
Chengdu,Chengdu,China,44,14406.7,4984.64,306457.8,129839.1,9012.411,26.04784,0.1292646,0.1089003,0.0657227,0.0183644,1175.021,0.0772095,0.0595008,0.006842,3764.812,25.01604,14.8,1
Dalian,Dalian,China,57,6941.7,3222.96,245160.7,112605.7,16221.63,34.9386,0.1308127,0.1186099,0.025986,0.0109089,1228.973,0.0957019,0.0002175,0.0076933,3603.065,14.92602,16.8,1
Dongguan,Dongguan,China,93,8465.7,1241.68,186042.1,89279.6,10546.04,71.90227,0.1334286,0.1141189,0.0960054,0.0173318,598.7529,,0.0004717,,350.0302,24.19969,4.3,1
Foshan,Foshan,China,61,7423.7,2563.14,234736.7,121053.1,16306.3,47.22844,0.1315479,0.1080313,0.0339982,0.0212237,819.035,0.1153566,0.0005707,,38.45078,29.42906,7.8,1
Fuzhou,Fuzhou,China,115,7443.9,2368.92,159571.6,72419.3,9728.677,30.5706,0.1185155,0.1071481,0.0484082,0.0102673,174.6427,0.1189941,0.1701063,0.01466,2592.543,17.64507,5.2,1
Haerbin,Harbin,China,104,10668.5,2402.86,159238.2,81394.4,7629.414,33.87397,0.1175177,0.1107523,-0.0068976,0.0060908,202.5627,0.0888426,0.0177442,,2008.647,15.91447,9.8,1
Hefei,Hefei,China,113,6043,2520.92,156988.6,64030.2,10595.76,25.39954,0.1467686,0.1266395,0.0745244,0.0178665,569.739,,0.0749938,0.0003323,1691.747,28.14283,12.2,1
Nantong,Nantong,China,103,7356.5,1549.44,169781.3,78016.4,10605.1,50.35135,0.1265884,0.1279771,0.0580853,-0.0012311,404.7608,,0.000507,0.006299,280.1628,24.96244,6,1
Qingdao,Qingdao,China,52,9053.8,2842.56,265789.3,127604.6,14094.04,44.89074,0.1306927,0.1162367,0.0439699,0.0129507,922.8119,0.0759348,0.0005197,0,3410.611,18.57075,10.1,1
Shenyang,Shenyang,China,59,8256.7,2616.76,230103.1,107481.9,13017.54,41.07442,0.1296993,0.1195393,0.0017291,0.0090752,1250.649,0.07343,0.1069273,0.0052166,2597.954,16.76183,19.6,1
Shijiazhuang,Shijiazhuang,China,100,10644.3,1465.62,156263.9,75539.2,7096.681,51.54078,0.1090597,0.0985251,0.0205794,0.0095898,39.39403,0.073665,0.0243168,0.001479,871.8886,13.55018,10.8,1
Suzhou,Suzhou,China,27,10658.3,4283.66,440255.3,202281.9,18978.82,47.22174,0.1286703,0.0950846,0.0825585,0.0306695,3487.044,0.0903174,0.0010032,0.0263399,101.5438,31.60348,3.6,1
Tangshan,Tangshan,China,77,7802.5,1456.68,190742.8,92030.4,11794.99,63.17818,0.1129196,0.1051891,0.0293662,0.0069948,61.78928,,0.0048183,0.008668,58.70852,12.69009,6.2,1
Wenzhou,Wenzhou,China,132,9274.8,3068.4,131440.9,60649.2,6539.138,19.76574,0.1087414,0.0950768,0.0711757,0.0124783,20.58725,,1.56E-05,,1295.872,23.23461,8.2,1
Wuxi,Wuxi,China,50,6525.8,2836.18,269957.4,126743.2,19421.87,44.688,0.1226682,0.1039847,0.0761943,0.0169238,1196.187,0.096544,0.001543,0.0111158,1190.595,29.92594,9.4,1
Xuzhou,Xuzhou,China,121,8660.1,1746.64,149682.3,67011.2,7737.925,38.36578,0.1260081,0.1276368,0.0629717,-0.0014443,163.7125,,2.92E-05,,251.4709,33.32612,4.6,1
Yantai,Yantai,China,90,7057,1944.72,183500.5,95213.3,13492.04,48.9599,0.1311194,0.1261866,0.046158,0.0043801,162.0527,,0.0024459,0.001417,1263.327,17.16049,6.6,1
Zhengzhou,Zhengzhou,China,85,9203.4,2724.62,209689.6,93125.1,10118.55,34.17912,0.1284237,0.1072022,0.035764,0.0191668,360.4966,0.0618006,0.036226,,2851.412,24.86246,13.6,1
Zibo,Zibo,China,134,4632.9,1145.88,123273.2,62492.9,13488.94,54.53704,0.1270132,0.1190888,0.0423055,0.0070811,81.9264,,0.0002915,,,13.97671,6.9,1
