metro,label_cluster,cluster name,gmm14_2015_nomgdp,gdp_pc_nom2015,nom_prod15,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_producti_15,trade_prod_diff,fdipc15,stockvalue15,share10pc13,patentspc12,vcpc15,ed15,pass15,down15
Ankara,3,Emerging gateways,133934.1,25629.88,72.881373456,0.0398513,0.0205605,0.0048089,0.713285,238.4528,1246.0828,0.0728915,0.0541424,0.0001148,33.9,14142360,13.56347
Athens,7,International Middleweights,138715,36082.36,89.4877749823,0.0008294,0.0019521,0.0027406,0.4313496,473.8181,1821.5461,0.1043665,0.086462,0.0115715,38.8,18202004,9.895835
Atlanta,2,Knowledge Centers,310822,54427.1,118.9444238224,0.0160374,-0.0031024,0.0083385,-0.0569742,1628.287,9298.8125,0.1598221,0.5712538,0.9009584,36.60555,116000000,30.09852
Austin,2,Knowledge Centers,119233.7,59591.24,122.2508510027,0.0427491,0.0113549,0.0192741,0.0625716,5336.186,10676.96,0.1649316,1.254293,3.954344,41.17898,20147164,70.43829
Baltimore,2,Knowledge Centers,178120.5,63673.42,127.3754102933,0.0199577,0.0138912,0.0146006,0.1470642,337.4413,943.96075,0.1796654,0.6350664,0.7174909,38.22252,39237972,37.81223
Barcelona,7,International Middleweights,197889,42010.19,92.1914744934,0.0115118,0.0026058,0.006058,0.0699194,3403.103,16030.315,0.1229243,0.4748735,0.2589878,37,50916340,40.64551
Beijing,4,Asian Anchors,663589.9,30334.84,55.1424618376,0.1023543,0.0679109,0.0635536,1.290837,1730.531,37856.23,0.0952797,0.5251154,0.7886127,30.8,136800000,30.66895
Berlin,7,International Middleweights,185910.3,43099.64,84.0310522509,0.0115513,0.007973,0.0032274,0.0202226,2031.977,8764.9316,0.1447444,0.9026901,1.171983,36.3,42571072,27.04091
Birmingham (UK),7,International Middleweights,132439.1,34233.49,70.7700651918,0.0120266,0.005843,0.0090231,-0.226501,3532.031,13664.368,0.1543742,0.5176862,0.041918,32.2,10668785,32.4005
Boston,2,Knowledge Centers,370730.9,77651.02,139.1595941548,0.0158706,0.0103754,0.0123551,0.2142155,1500.562,7164.1631,0.2232107,3.00958,8.36062,45.67968,55621984,37.62372
Brasilia,3,Emerging gateways,159586.5,39149.84,75.0465553727,0.0341938,0.0121477,-0.0012311,1.019192,175.9453,717.20593,0.0699398,0.0109127,0.0000865,17.7,20527960,11.65097
Brussels,7,International Middleweights,290522.4,52444.65,117.9786395939,0.0144138,0.0062355,0.0063266,0.0771788,2439.771,13515.358,0.1531719,0.7488658,0.2403246,43.7,25629704,34.96929
Busan-Ulsan,3,Emerging gateways,305931.3,39160.21,78.7711262166,0.0344793,0.0332724,0.0259136,0.0312646,828.0954,6469.3296,0.065457,0.4641186,0.0005684,33.4,14945511,95.87917
Cape Town,3,Emerging gateways,66599.1,16750.28,45.1030069078,0.0295487,0.0112227,0.0184807,0.0273984,766.191,3046.3752,0.1529824,0.0924079,0.0469677,6.1,14252318,5.985496
Changchun,1,Factory China,162933.2,21435.48,88.4602688557,0.1280701,0.1231614,0.1000622,3.676995,193.0879,1467.6808,0.0805289,0.0154372,,12.8,14479143,13.65089
Changsha,1,Factory China,245570.6,33604.36,114.9632036253,0.1354545,0.1219888,0.0924426,6.125224,567.824,4149.4878,0.0840594,0.1547142,0,15.3,30163076,15.64745
Changzhou,1,Factory China,147280.6,31155.33,66.9877468594,0.12505,0.108139,0.0526977,2.286632,1385.547,6549.896,,0.0003272,0.0055038,10,3889019,33.5055
Charlotte,6,American Middleweights,131636.3,54252.52,117.332317209,0.0254763,0.0025556,0.0139436,-0.0600666,1319.311,3201.1262,,0.4399647,0.1700518,35.10254,53651308,19.01793
Chengdu,1,Factory China,306457.8,21271.89,61.4804278744,0.1292646,0.1089003,0.0596233,2.388113,1175.021,16928.168,0.0772095,0.0595008,0.006842,14.8,54033336,25.01604
Chicago,2,Knowledge Centers,582495.9,60987.75,125.8174737401,0.0078798,0.004732,0.0079268,0.0295826,874.5018,8352.3945,0.1749708,1.011011,0.9575826,37.34886,134700000,30.23134
