metro,metro2,country,rank_300,Nominal GDP 2015,Nominal GDP per capita 2015,Output per worker 2015,Compound growth real GDP 2000-2015,Compound growth real GDP per capita 2000-2015,Compound growth output per worker 2000-2015,Traded Sector productivity differential 2015,Stock of foreign direct investment per capita 2009-2015,Stock of foreing direct onvestment 2009-2015,Share of publications in top 10 percent 2010-2013,Patents per capita 2008-2012,Stock of venture capital per capita 2006-2015,Share of population with tertiary Education 2015 or most recent year available,Aviation passengers 2014,Download Speeds 2015,label_cluster,cluster name
Ankara,Ankara,Turkey,129,133934.10000,25629.88000,38.23273,0.03985,0.02056,0.00481,0.71329,238.45280,1246.08280,0.07289,0.05414,0.00011,33.90000,14142360.00000,13.56347,3,Emerging gateways
Athens,Athinai,Greece,102,138715.00000,36082.36000,79.03993,0.00083,0.00195,0.00274,0.43135,473.81810,1821.54610,0.10437,0.08646,0.01157,38.80000,18202004.00000,9.89584,7,International Middleweights
Atlanta,"Atlanta-Sandy Springs-Roswell, GA",USA,37,310822.00000,54427.10000,107.99290,0.01604,-0.00310,0.00834,-0.05697,1628.28700,9298.81250,0.15982,0.57125,0.90096,36.60555,116000000.00000,30.09852,2,Knowledge Centers
Austin,"Austin-Round Rock, TX",USA,127,119233.70000,59591.24000,112.83690,0.04275,0.01135,0.01927,0.06257,5336.18600,10676.96000,0.16493,1.25429,3.95434,41.17898,20147164.00000,70.43829,2,Knowledge Centers
Baltimore,"Baltimore-Columbia-Towson, MD",USA,69,178120.50000,63673.42000,116.24760,0.01996,0.01389,0.01460,0.14706,337.44130,943.96075,0.17967,0.63507,0.71749,38.22252,39237972.00000,37.81223,2,Knowledge Centers
Barcelona,Barcelona,Spain,72,197889.00000,42010.19000,82.96725,0.01151,0.00261,0.00606,0.06992,3403.10300,16030.31500,0.12292,0.47487,0.25899,37.00000,50916340.00000,40.64551,7,International Middleweights
Beijing,Beijing,China,11,663589.90000,30334.84000,23.45345,0.10235,0.06791,0.06355,1.29084,1730.53100,37856.23000,0.09528,0.52512,0.78861,30.80000,136800000.00000,30.66895,4,Asian Anchors
Berlin,Berlin,Germany,84,185910.30000,43099.64000,82.82169,0.01155,0.00797,0.00323,0.02022,2031.97700,8764.93160,0.14474,0.90269,1.17198,36.30000,42571072.00000,27.04091,7,International Middleweights
Birmingham (UK),Birmingham,United Kingdom,112,132439.10000,34233.49000,68.07235,0.01203,0.00584,0.00902,-0.22650,3532.03100,13664.36800,0.15437,0.51769,0.04192,32.20000,10668785.00000,32.40050,7,International Middleweights
Boston,"Boston-Cambridge-Newton, MA-NH",USA,24,370730.90000,77651.02000,126.60640,0.01587,0.01038,0.01236,0.21422,1500.56200,7164.16310,0.22321,3.00958,8.36062,45.67968,55621984.00000,37.62372,2,Knowledge Centers
Brasilia,Brasilia,Brazil,92,159586.50000,39149.84000,47.33186,0.03419,0.01215,-0.00123,1.01919,175.94530,717.20593,0.06994,0.01091,0.00009,17.70000,20527960.00000,11.65097,3,Emerging gateways
Brussels,Belgian central,Belgium,43,290522.40000,52444.65000,124.48740,0.01441,0.00624,0.00633,0.07718,2439.77100,13515.35800,0.15317,0.74887,0.24032,43.70000,25629704.00000,34.96929,7,International Middleweights
Busan-Ulsan,Busan,South Korea,36,305931.30000,39160.21000,46.67941,0.03448,0.03327,0.02591,0.03126,828.09540,6469.32960,0.06546,0.46412,0.00057,33.40000,14945511.00000,95.87917,3,Emerging gateways
Cape Town,Cape Town,South Africa,201,66599.10000,16750.28000,21.85040,0.02955,0.01122,0.01848,0.02740,766.19100,3046.37520,0.15298,0.09241,0.04697,6.10000,14252318.00000,5.98550,3,Emerging gateways
Changchun,Changchun,China,108,162933.20000,21435.48000,42.04259,0.12807,0.12316,0.10006,3.67700,193.08790,1467.68080,0.08053,0.01544,,12.80000,14479143.00000,13.65089,1,Factory China
Changsha,Changsha,China,60,245570.60000,33604.36000,51.56895,0.13545,0.12199,0.09244,6.12522,567.82400,4149.48780,0.08406,0.15471,0.00000,15.30000,30163076.00000,15.64745,1,Factory China
Changzhou,Changzhou,China,123,147280.60000,31155.33000,30.74883,0.12505,0.10814,0.05270,2.28663,1385.54700,6549.89600,,0.00033,0.00550,10.00000,3889019.00000,33.50550,1,Factory China
Charlotte,"Charlotte-Concord-Gastonia, NC-SC",USA,107,131636.30000,54252.52000,105.30440,0.02548,0.00256,0.01394,-0.06007,1319.31100,3201.12620,,0.43996,0.17005,35.10254,53651308.00000,19.01793,6,American Middleweights
Chengdu,Chengdu,China,44,306457.80000,21271.89000,26.04784,0.12926,0.10890,0.05962,2.38811,1175.02100,16928.16800,0.07721,0.05950,0.00684,14.80000,54033336.00000,25.01604,1,Factory China
Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",USA,9,582495.90000,60987.75000,113.25010,0.00788,0.00473,0.00793,0.02958,874.50180,8352.39450,0.17497,1.01101,0.95758,37.34886,134700000.00000,30.23134,2,Knowledge Centers
Chongqing,Chongqing,China,33,425471.70000,14107.57000,11.80227,0.12856,0.12429,0.12535,0.25065,792.47090,23900.20900,0.07257,0.01193,0.00311,5.50000,45671512.00000,18.65015,3,Emerging gateways
Cincinnati,"Cincinnati, OH-KY-IN",USA,122,115551.70000,53552.71000,96.64504,0.01131,0.00619,0.00858,-0.20070,1165.34400,2514.48490,0.14285,1.55185,0.34837,34.53040,9692778.00000,23.58807,6,American Middleweights
